Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_3002_1x2032",147.682500,-98.761850,180.000000,bottom
"C1","0.1 uF","C_0805_2012Metric",142.775000,-98.803450,-90.000000,top
"C2","10 uF","C_0805_2012Metric",116.775000,-113.803450,-90.000000,top
"D1","LED","LED_0805_2012Metric",147.712500,-82.790950,0.000000,top
"D2","LED","LED_0805_2012Metric",147.712500,-115.153450,0.000000,top
"R1","330","R_0805_2012Metric",147.687500,-85.790950,0.000000,top
"R2","330","R_0805_2012Metric",147.862500,-110.653450,0.000000,top
"R3","4.7k","R_0805_2012Metric",153.775000,-97.753450,-90.000000,top
"R4","4.7k","R_0805_2012Metric",153.775000,-101.753450,-90.000000,top
"U1","MAX30102","Maxim_OLGA-14_3.3x5.6mm_P0.8mm",117.375000,-109.053450,-90.000000,top
"U2","ATtiny85-20S","SOIC-8_3.9x4.9mm_P1.27mm",147.775000,-98.753450,0.000000,top
"U3","NT3H2211W0FHKH","IC_NT3H2211W0FHKH",105.475000,-84.853450,180.000000,top
