Comment,Designator,Footprint,LCSC
"Antenna_Loop","AE1","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"Battery_Cell","BT1","Battery:BatteryHolder_Keystone_3002_1x2032",""
"0.1 uF","C1","Capacitor_SMD:C_0805_2012Metric",""
"10 uF","C2","Capacitor_SMD:C_0805_2012Metric",""
"LED","D1,D2","LED_SMD:LED_0805_2012Metric",""
"330","R1,R2","Resistor_SMD:R_0805_2012Metric",""
"4.7k","R3,R4","Resistor_SMD:R_0805_2012Metric",""
"MAX30102","U1","OptoDevice:Maxim_OLGA-14_3.3x5.6mm_P0.8mm",""
"ATtiny85-20S","U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"NT3H2211W0FHKH","U3","Custom_Libraries:IC_NT3H2211W0FHKH",""
